M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE
1468047614	4-Trimethylammoniobutanoyl-CoA	QAMRRBGWSPTAEJ	O=C(NCCSC(=O)CCC[N+](C)(C)C)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C28H50N8O17P3S+	1.0
1468047622	L-Carnitinyl-CoA	BBRISSLDTUHWKG	OC(C[N+](C)(C)C)CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)([O-])[O-])O)n1cnc2c1ncnc2N)[O-])[O-])(C)C)O	C28H46N8O18P3S---	-3.0
1468047715	Phytyl phosphate	YRXRHZOKDFCXIB	CC(CCCC(=CCOP(=O)(O)O)C)CCCC(CCCC(C)C)C	C20H41O4P	0.0
1468047766	3-[(1-Carboxyvinyl)oxy]benzoate	HGVAHYJMDVROLE	C=C(C(=O)O)Oc1cccc(c1)C(=O)O	C10H8O5	0.0
1468047774	6-Amino-6-deoxyfutalosine	JSTYUEOJPRFLHR	OC1C(CCC(=O)c2cccc(c2)C(=O)O)OC(C1O)n1cnc2c1ncnc2N	C19H19N5O6	0.0
1468047851	Propane	ATUOYWHBWRKTHZ	CCC	C3H8	0.0
1468047860	ADP-5-ethyl-4-methylthiazole-2-carboxylate	VGXBGQACJQRWLV	OC1C(COP(=O)(OP(=O)(OCCc2sc(nc2C)C(=O)O)O)O)OC(C1O)n1cnc2c1ncnc2N	C17H22N6O12P2S	0.0
1468047923	Oleoylethanolamide	BOWVQLFMWHZBEF	CCCCCCCCC=CCCCCCCCC(=O)NCCO	C20H39NO2	0.0
1468048001	(4S)-4-Hydroxy-L-isoleucine	OSCCDBFHNMXNME	CC(C(C(C(=O)[O-])[NH3+])C)O	C6H13NO3	0.0
1468048323	(2Z,4S,5R)-2-Amino-4,5,6-trihydroxyhex-2-enoate	BWCRWWBHRAOURT	[O-]C(=O)C(=CC(C(CO)O)O)[NH3+]	C6H11NO5	0.0
1468048330	(4S,5R)-4,5,6-Trihydroxy-2-iminohexanoate	LHJBIZHHMPOXFL	[O-]C(=O)C(=N)CC(C(CO)O)O	C6H10NO5-	-1.0
1468048408	22-Hydroxydocosahexaenoate	DTRUULZFBQUZPD	OCCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O	C22H32O3	0.0
1468048522	3-(Methylthio)propanoyl-CoA	SIEFLYWJLBNLAM	CSCCC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C25H42N7O17P3S2	0.0
1468048644	D-Galactaro-1,5-lactone	YLKFQNUGXOLRNI	OC1C(=O)OC(C(C1O)O)C(=O)O	C6H8O7	0.0
1468048698	D-Galactaro-1,4-lactone	XECPAIJNBXCOBO	OC(=O)C(C1OC(=O)C(C1O)O)O	C6H8O7	0.0
1468048768	2-Iminobutanoate	WRBRCYPPGUCRHW	[O-]C(=O)C(=[NH2+])CC	C4H7NO2	0.0
1468048803	L-4-Hydroxyphenylglycyl-L-arginine	YGJWDZHQJBXRDU	NC(c1ccc(cc1)O)C(=O)NC(C(=O)O)CCCNC(=N)N	C14H21N5O4	0.0
1468048919	L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate	FMNCPUGORYYCEM	O=C(NC(C(=O)[O-])CCCC(C(=O)[O-])[N+])CCC(C(=O)[O-])NC(=O)C([N+])C	C15H19N4O8-	-1.0
1468048928	gamma-Glutamyltyramine	ICIIWGMCNMZIQX	O=C(CCC(C(=O)O)N)NCCc1ccc(cc1)O	C13H18N2O4	0.0
1468049124	(5-Formylfuran-3-yl)methyl phosphate	XUMMAWMKFFMZAH	O=Cc1occ(c1)COP(=O)(O)O	C6H7O6P	0.0
1468049134	3-(Methylthio)acryloyl-CoA	ZGBNNHAIMKRDOC	CSC=CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C25H40N7O17P3S2	0.0
1468049150	L-Alanyl-D-glutamate	VYZAGTDAHUIRQA	CC(C(=O)NC(C(=O)O)CCC(=O)O)N	C8H14N2O5	0.0
1468049164	(4S)-4-Hydroxy-5-phosphooxypentane-2,3-dione	DTZHMTDUIGHESZ	OC(C(=O)C(=O)C)COP(=O)(O)O	C5H9O7P	0.0
1468049173	3-Hydroxy-5-phosphooxypentane-2,4-dione	AKHNGSPNHAFBII	O=C(C(C(=O)C)O)COP(=O)(O)O	C5H9O7P	0.0
1468049182	N3-Fumaroyl-L-2,3-diaminopropanoate	FYPSRFSOOLJBNE	O=C(NCC(C(=O)O)N)C=CC(=O)O	C7H10N2O5	0.0
1468049190	Dapdiamide A	JAGLEOBXISHNNM	O=C(NCC(C(=O)NC(C(=O)[O-])C(C)C)[NH3+])C=CC(=O)N	C12H20N4O5	0.0
1468049214	3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine	TXNRYTCUNXUNFH	O=C(NCC(C(=O)O)N)C=CC(=O)N	C7H11N3O4	0.0
1468049228	Carboxyphosphate	LQQCGEGRINLHDP	OC(=O)OP(=O)(O)O	CH3O6P	0.0
1468049344	2-Sulfotrehalose	WVFKPISWLUJJIJ	OCC1OC(OC2OC(CO)C(C(C2OS(=O)(=O)O)O)O)C(C(C1O)O)O	C12H22O14S	0.0
1468049396	S-(L-Histidin-5-yl)-L-cysteine S-oxide	CHVJBWUZNCGHCS	[N+]C(C(=O)[O-])Cc1[nH]cnc1S(=O)CC(C(=O)[O-])[N+]	C9H8N4O5S	0.0
1468049403	S-(Hercyn-2-yl)-L-cysteine S-oxide	CSTNDZVKJNPMIG	[O-]C(=O)C(CS(=O)c1[nH]cc(n1)CC([N+](C)(C)C)C(=O)[O-])[NH3+]	C12H20N4O5S	0.0
1468049496	5,6,7,8-Tetrahydromonapterin	XHIXPVCTDRNTTC	Nc1nc2NCC(Nc2c(=O)[nH]1)C(C(CO)O)O	C9H15N5O4	0.0
1468049511	N4-Aminopropylspermidine	CAARYRKDWMNHCB	[N+]CCCC[N+](CCC[N+])CCC[N+]	C10H20N4++++	4.0
1468049518	N4-Bis(aminopropyl)spermidine	FMTAVYOBEGHWPT	NCCCC[N+](CCCN)(CCCN)CCCN	C13H34N5+	1.0
1468049624	Iminoarginine	YWGYOCPWFDUKSA	NC(=N)NCCCC(=N)C(=O)O	C6H12N4O2	0.0
1468049632	N-Acetylmuramic acid alpha-1-phosphate	DTSXRQWOCZUNPL	OCC1OC(OP(=O)(O)O)C(C(C1O)OC(C(=O)O)C)NC(=O)C	C11H20NO11P	0.0
1468049783	D-Digitoxose	FDWRIIDFYSUTDP	OC1CC(O)C(C(O1)C)O	C6H12O4	0.0
1468049935	Ketodeoxyoctonic acid	NNLZBVFSCVTSLA	OCC(C1OC(O)(CC(C1O)O)C(=O)O)O	C8H14O8	0.0
1468050000	dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose	CYUJCYJTTJIBPM	COC1CC(OC(C1=O)C)OP(=O)(OP(=O)(OCC1OC(CC1O)n1cc(C)c(=O)[nH]c1=O)O)O	C17H26N2O14P2	0.0
1468050016	dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose	JFYPCDSRMOHQMH	OC1CC(OC1COP(=O)(OP(=O)(OC1OC(C)C(=O)C(C1)N(C)C)O)O)n1cc(C)c(=O)[nH]c1=O	C18H29N3O13P2	0.0
1468050067	5'-Dehydrouridine	FCMSQGXJQIDTCO	O=CC1OC(C(C1O)O)n1ccc(=O)[nH]c1=O	C9H10N2O6	0.0
1468050080	Gentisyl-CoA	JWFTZSFRBMKSNJ	O=C(NCCSC(=O)c1cc(O)ccc1O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C28H40N7O19P3S	0.0
1468050141	(R)-2-Hydroxyisocaproyl-CoA	CFNPCSNXESBNGR	CC(CC(C(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)O)C	C27H46N7O18P3S	0.0
1468050242	5'-Deoxyinosine	IPJDTNIZLKTLEU	CC1OC(C(C1O)O)n1cnc2c1nc[nH]c2=O	C10H12N4O4	0.0
1468050408	IPA imine	LKYWXXAVLLVJAS	OC(=O)C(=N)Cc1c[nH]c2c1cccc2	C11H10N2O2	0.0
1468050416	Chromopyrrolate	FZDVNXHYGMEEDT	OC(=O)c1[nH]c(c(c1c1c[nH]c2c1cccc2)c1c[nH]c2c1cccc2)C(=O)O	C22H15N3O4	0.0
1468050425	K-252c	MEXUTNIFSHFQRG	O=C1NCc2c1c1c([nH]c3c1cccc3)c1c2c2ccccc2[nH]1	C20H13N3O	0.0
1468050621	N,N'-Diacetylchitobiose 6'-phosphate	KYKNQNQCPWDNAK	OCC1OC(O)C(C(C1OC1OC(COP(=O)(O)O)C(C(C1NC(=O)C)O)O)O)NC(=O)C	C16H29N2O14P	0.0
1468050793	Dihydrocaffeoyl-CoA	NDSCGRAEWDSLKF	O=C(NCCSC(=O)CCc1ccc(c(c1)O)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C30H44N7O19P3S	0.0
1468051350	4'-Oxonebramine	BRAUSRPRKVPZCF	NCC1OC(OC2C(N)CC(C(C2O)O)N)C(CC1=O)N	C12H24N4O5	0.0
1468054135	Protoporphyrin	YLWVQFBYKLFJMB	C=Cc1c2=Cc3[nH]c(c(c3C)CCC(=O)O)C=c3[nH]c(=Cc4[nH]c(C=c(c1C)[nH]2)c(C=C)c4C)c(c3CCC(=O)O)C	C34H36N4O4	0.0
1468054183	Uroporphyrin III	ZZESMSZDDYEFSS	OC(=O)CCc1c2=Cc3[nH]c(c(c3CC(=O)O)CCC(=O)O)C=c3[nH]c(=Cc4[nH]c(C=c(c1CC(=O)O)[nH]2)c(CCC(=O)O)c4CC(=O)O)c(c3CCC(=O)O)CC(=O)O	C40H40N4O16	0.0
1468054720	2-Succinylbenzoyl-CoA	AVOVYFCDODUXLY	O=C(NCCSC(=O)c1ccccc1C(=O)CCC(=O)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C32H44N7O20P3S	0.0
1468055374	sinapoyl (S)-malate(2-)	SVOZVFTXNDIEBH	COc1cc(C=CC(=O)O)cc(c1OC(=O)C(CC(=O)O)O)OC	C15H16O9	0.0
1468057101	F6P	GSXOAOHZAIYLCY	OCC(=O)C(C(C(COP(=O)(O)O)O)O)O	C6H13O9P	0.0
1468058347	2-deoxy-D-glucose 6-phosphate	MBPFNOMGYSRGQZ	O=CCC(C(C(COP(=O)(O)O)O)O)O	C6H13O8P	0.0
1468058424	rmn	PNNNRSAQSRJVSB	O=CC(C(C(C(O)C)O)O)O	C6H12O5	0.0
1468058930	2-deoxy-D-ribose 5-phosphate	ALQNUOMIEBHXQG	O=CCC(C(COP(=O)(O)O)O)O	C5H11O7P	0.0
1468061319	Monodehydroascorbate	LHFJOBMTAJJOTB	OCC(C1OC(=O)C(=C1[O])O)O	C6H7O6	0.0
1468063146	sedoheptulose	HSNZZMHEPUFJNZ	OCC(C(C(C(C(=O)CO)O)O)O)O	C7H14O7	0.0
1468063783	S-methyl-5-thio-D-ribose	ACWASDPGAVYCNI	CSCC(C(C(C=O)O)O)O	C6H12O4S	0.0
1468063846	FDP	XPYBSIWDXQFNMH	OC(C(C(C(=O)COP(=O)(O)O)O)O)COP(=O)(O)O	C6H14O12P2	0.0
1468065130	N-Acetyl-D-mannosamine	MBLBDJOUHNCFQT	O=CC(C(C(C(CO)O)O)O)NC(=O)C	C8H15NO6	0.0
1468071357	1-methyladenine	HPZMWTNATZPBIH	Cn1cnc2c(c1N)ncn2	C6H7N5	0.0
1468074483	N-3,5-dichloro-4-hydroxyphenyl-1,4-benzoquinone imine	FBWADIKARMIWNM	O=C1C=CC(=Nc2cc(Cl)c(c(c2)Cl)O)C=C1	C12H7Cl2NO2	0.0
1468075684	isomaltotriose	FZWBNHMXJMCXLU	O=CC(C(C(C(COC1OC(COC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O)O)O)O)O	C18H32O16	0.0
1468077267	D-erythrose	YTBSYETUWUMLBZ	OCC(C(C=O)O)O	C4H8O4	0.0
1468079396	N-acetyl-D-mannosamine 6-phosphate(2-)	QDSLHWJDSQGPEE	O=CC(C(C(C(COP(=O)(O)O)O)O)O)NC(=O)C	C8H16NO9P	0.0
1468079561	quercetin 3-O-beta-D-glucofuranoside	OPJZLUXFQFQYAI	OCC(C1OC(C(C1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1ccc(c(c1)O)O)O	C21H20O12	0.0
1468080191	5-hydroxyimidazole-4-acetate	YHUKSLQXRSAEOH	OC(=O)Cc1nc[nH]c1O	C5H6N2O3	0.0
1468080436	FT-0628138	UYQJCPNSAVWAFU	OCC(C(C(C(C=O)O)O)OC1OC(CO)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O)O	C24H42O21	0.0
1468081077	D-RIBULOSE-1-P	NBOCCPQHBPGYCX	OCC(C(C(=O)COP(=O)(O)O)O)O	C5H11O8P	0.0
1468082065	L-xylo-hex-3-ulonolactone	PJBQWWHYTVYMLO	OCC(C1OC(=O)C(C1=O)O)O	C6H8O6	0.0
1468082160	alpha-D-ribose 1-diphosphate	IFCVBEAOTXDWNE	OCC1OC(C(C1O)O)OP(=O)(OP(=O)(O)O)O	C5H12O11P2	0.0
1468083953	cu2	JPVYNHNXODAKFH	[Cu+2]	Cu++	2.0
1468086936	cob(III)yrinic acid	SXATWJGWOIKDIW	OC(=O)CCC1C2=NC(C1(C)CC(=O)O)(C)C1N([Co+2])C(=C(C)C3=NC(=CC4=NC(=C2C)C(C)(CC(=O)O)C4CCC(=O)O)C(C3CCC(=O)O)(C)C)C(C1CC(=O)O)(C)CCC(=O)O	C45H59CoN4O14++	2.0
1468089655	N-acetyl-L-alanine	KTHDTJVBEPMMGL	CC(=O)NC(C(=O)O)C	C5H9NO3	0.0
1468093882	cu	VMQMZMRVKUZKQL	[Cu+]	Cu+	1.0
1468093962	Hydrogen	YZCKVEUIGOORGS	[H]	H	0.0
1468094448	deoxyhypusine	PGPFBXMCOQNMJO	NCCCCNCCCCC(C(=O)O)N	C10H23N3O2	0.0
1468095317	1,2-dioleoyl-sn-glycero-3-phosphocholine	SNKAWJBJQDLSFF	CCCCCCCCC=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(OCC[N+](C)(C)C)O	C44H85NO8P+	1.0
1468096615	progly	RNKSNIBMTUYWSH	OC(=O)CNC(=O)C1CCCN1	C7H12N2O3	0.0
1468097103	(3Z)-2-oxohex-3-enedioate	QTHJXLFFFTVYJC	[O-]C(=O)CC=CC(=O)C(=O)[O-]	C6H4O5--	-2.0
1468097899	Phosphatidylglycerol	BIABMEZBCHDPBV	CCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCC)COP(=O)(OCC(CO)O)[O-]	C38H74O10P-	-1.0
1468097914	1,2-dihexadecanoyl-sn-glycero-3-phosphocholine	KILNVBDSWZSGLL	CCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCC)COP(=O)(OCC[N+](C)(C)C)[O-]	C40H80NO8P	0.0
1468097922	1-O-palmitoyl-2-O-[1-(14)C]-linoleoyl-sn-glycero-3-phosphocholine	JLPULHDHAOZNQI	CCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)(OCC[N+](C)(C)C)[O-]	C42H80NO8P	0.0
1468097930	1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-icosatetraenoyl)-sn-glycero-3-phosphocholine	IIZPXYDJLKNOIY	CCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCC=CCC=CCC=CCC=CCCCCC)COP(=O)(OCC[N+](C)(C)C)[O-]	C44H80NO8P	0.0
1468098057	1-arachidonoyl-sn-glycerol 3-phosphate	XBFQFMCUPHZKTI	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)(O)O)O	C23H39O7P	0.0
1468098073	1-stearoyl-sn-glycero-3-phosphocholine	IHNKQIMGVNPMTC	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCC[N+](C)(C)C)[O-])O	C26H54NO7P	0.0
1468098089	2-oleoylglycerol	UPWGQKDVAURUGE	CCCCCCCCC=CCCCCCCCC(=O)OC(CO)CO	C21H40O4	0.0
1468098234	Isocaproate	FGKJLKRYENPLQH	CC(CCC(=O)O)C	C6H12O2	0.0
1468098265	1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	IESVDEZGAHUQJU	CCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(OCC[N+](C)(C)C)[O-]	C46H80NO8P	0.0
1468098297	1-stearoyl-2-oleoyl-sn-glycero-3-phosphocholine	ATHVAWFAEPLPPQ	CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(OCC[N+](C)(C)C)[O-]	C44H86NO8P	0.0
1468098507	1agpg160	BVJSKAUUFXBDOB	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCC(CO)O)O)O	C22H45O9P	0.0
1468098546	1-hexadecanoyl-sn-glycerol	QHZLMUACJMDIAE	CCCCCCCCCCCCCCCC(=O)OCC(CO)O	C19H38O4	0.0
1468098570	1-monostearoylglycerol	VBICKXHEKHSIBG	CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O	C21H42O4	0.0
1468098578	rac-1-monomyristoylglycerol	DCBSHORRWZKAKO	CCCCCCCCCCCCCC(=O)OCC(CO)O	C17H34O4	0.0
1468098690	2-linoleoyl-sn-glycero-3-phosphocholine	LSUXCWJOIAWGOU	CCCCCC=CCC=CCCCCCCCC(=O)OC(COP(=O)(OCC[N+](C)(C)C)[O-])CO	C26H50NO7P	0.0
1468098826	(4R)-4-hydroxy-L-lysine	ASYBZHICIMVQII	NC(C(=O)O)CC(CCN)O	C6H14N2O3	0.0
1468098882	1,2-dioctanoyl-sn-glycero-3-phosphocholine	YHIXRNNWDBPKPW	CCCCCCCC(=O)OCC(OC(=O)CCCCCCC)COP(=O)(OCC[N+](C)(C)C)[O-]	C24H48NO8P	0.0
1468099030	1,2-dioctanoyl-sn-glycero-3-phosphate	XYSBQYUENLDGMI	CCCCCCCC(=O)OCC(OC(=O)CCCCCCC)COP(=O)(O)O	C19H37O8P	0.0
1468104467	betanidin	BBJUSJOGHYQDQX	OC(=O)C1Cc2c(N1C=CC1=CC(=NC(C1)C(=O)O)C(=O)O)cc(c(c2)O)O	C18H16N2O8	0.0
1468111245	panose	ZCLAHGAZPPEVDX	OCC(C(C(C(C=O)O)O)OC1OC(COC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O)O	C18H32O16	0.0
1468115353	OXOPENTENOATE	NOXRYJAWRSNUJD	[O-]C(=O)C(=O)CC=C	C5H5O3-	-1.0
1468116043	seln	HMUBNCUQSSTAIB	[Se-2]	Se--	-2.0
1468117160	2-methylacetoacetate	GCXJINGJZAOJHR	CC(C(=O)C)C(=O)[O-]	C5H7O3-	-1.0
1468117328	3-hydroxy-3-phenylpropionate	AYOLELPCNDVZKZ	OC(c1ccccc1)CC(=O)O	C9H10O3	0.0
1468118328	GA6P	AEJSSXDYDSUOOZ	O=CC(C(C(C(COP(=O)(O)O)O)O)O)N	C6H14NO8P	0.0
1468118376	D-glucitol 3-phosphate	RSCVCIHYYQHRMQ	OCC(C(C(C(CO)O)O)OP(=O)(O)O)O	C6H15O9P	0.0
1468120684	isothiocyanic acid	GRHBQAYDJPGGLF	N=C=S	CHNS	0.0
1468120779	magnesium-25	FYYHWMGAXLPEAU	[Mg]	Mg	0.0
1468122683	isocyanic acid	OWIKHYCFFJSOEH	N=C=O	CHNO	0.0
1468133925	methylparaben	LXCFILQKKLGQFO	COC(=O)c1ccc(cc1)O	C8H8O3	0.0
1468134444	salicylamide	SKZKKFZAGNVIMN	NC(=O)c1ccccc1O	C7H7NO2	0.0
1468134556	stearyl alcohol	GLDOVTGHNKAZLK	CCCCCCCCCCCCCCCCCCO	C18H38O	0.0
1468141265	tetra-mu3-sulfido-tetrairon(2+)	YEAYMLBNRJYVPB	[S]12[Fe]3[S]4[Fe]1[S]1[Fe+]2[S]3[Fe+]41	Fe4S4++	2.0
1468141273	tetra-mu3-sulfido-tetrairon(1+)	ISVAEKDKOPJTJN	[S]12[Fe]3[S]4[Fe]2[S]2[Fe]1[S]3[Fe+]42	Fe4S4+	1.0
1468148865	formic anhydride	VGGRCVDNFAQIKO	O=COC=O	C2H2O3	0.0
1468151140	trans-12-Hydroxyjasmonic acid	RZGFUGXQKMEMOO	OCCC=CCC1C(CCC1=O)CC(=O)O	C12H18O4	0.0
1468159709	3-methylcytosine	KOLPWZCZXAMXKS	Cn1c(N)ccnc1=O	C5H7N3O	0.0
1468160670	4-deoxy-Delta(4)-beta-D-GlcpA	IAKKJSVSFCTLRY	OC1OC(=CC(C1O)O)C(=O)O	C6H8O6	0.0
1468161804	Menaquinone 8	LXKDFTDVRVLXFY	CC(=CCCC(=CCCC(=CCCC(=CCC1=C(C)C(=O)c2c(C1=O)cccc2)C)C)C)CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C	C51H72O2	0.0
1468162353	R-THMF	BVIYGXUQVXBHQS	OC1COC(C1(O)O)(C)O	C5H10O5	0.0
1468162361	2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine	HVAUUPRFYPCOCA	CCCCCCCCCCCCCCCCOCC(OC(=O)C)COP(=O)(OCC[N+](C)(C)C)[O-]	C26H54NO7P	0.0
1468162623	beta-L-lyxofuranosylamine	UUSMORJRYZFLSS	OCC1OC(C(C1O)O)N	C5H11NO4	0.0
1468163116	(1S)-1-amino-2-(1H-indol-3-yl)ethanol	WNWJSYYPDDQIQV	NC(Cc1c[nH]c2c1cccc2)O	C10H12N2O	0.0
1468163131	4-acetamidobenzoate	QCXJEYYXVJIFCE	CC(=O)Nc1ccc(cc1)C(=O)O	C9H9NO3	0.0
1468163537	hydroxypyruvaldehyde	JLPAWRLRMTZCSF	OCC(=O)C=O	C3H4O3	0.0
1468163553	D-arabinosone	VDSAQEDKJUSZPS	OC(C(=O)C=O)C(CO)O	C5H8O5	0.0
1468164446	N-acetylsphingosine	BLTCBVOJNNKFKC	CCCCCCCCCCCCCC=CC(C(NC(=O)C)CO)O	C20H39NO3	0.0
1468164454	N-acetylsphingosine 1-phosphate	HWPZKJVGDYNEAW	CCCCCCCCCCCCCC=CC(C(NC(=O)C)COP(=O)(O)O)O	C20H40NO6P	0.0
1468165504	2-mercaptopropanoic acid	PMNLUUOXGOOLSP	CC(C(=O)O)S	C3H6O2S	0.0
1468167515	d2-methanediol	CKFGINPQOCXMAZ	OCO	CH4O2	0.0
1468167761	2dmmq8	GDUBPWSFXUAETN	CC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)c2c(C1=O)cccc2)C)C)C)CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C	C50H70O2	0.0
1468170932	3-hydroxycyclohexa-1,5-diene-1-carbonyl-CoA	QDXKTBIXZUTNGC	O=C(NCCSC(=O)C1=CC(CC=C1)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C28H42N7O18P3S	0.0
1468174117	N-formyl-L-tyrosine	ROUWPHMRHBMAFE	O=CNC(C(=O)O)Cc1ccc(cc1)O	C10H11NO4	0.0
1468178694	propynamide	HCJTYESURSHXNB	NC(=O)C#C	C3H3NO	0.0
1468179070	3,7-dideoxy-D-threo-hepto-2,6-diuolosonate	JBJFMONKIKZMPK	OC(C(CC(=O)C(=O)O)O)C(=O)C	C7H10O6	0.0
1468181808	1-oleoyl-sn-glycero-3-phosphate(2-)	WRGQSWVCFNIUNZ	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)O)O	C21H41O7P	0.0
1468190412	2,3-didehydro-D-glucose	HWTWYYQIKNSYOA	OCC1OC(O)C(=O)C(=O)C1O	C6H8O6	0.0
1468196579	Riboflavin	LXNWHONSMYYPBF	OCC(C(C(CN1C2CC(C)C(CC2NC2C1NC(=O)[N-]C2=O)C)O)O)O	C17H29N4O6-	-1.0
1468197186	dhdascb	OESHPIGALOBJLM	OCC([C-]1OC(=O)C(=O)C1=O)O	C6H5O6-	-1.0
1468197202	CO	XPRMKTHGXOVKEH	C#[O+]	CHO+	1.0
1468198101	6,7-Dimethyl-8-(D-ribityl)lumazine	UFTLCTHPELHMDL	OCC(C(C(CN1C(C)C(C)NC2C1NC(=O)[N-]C2=O)O)O)O	C13H23N4O6-	-1.0
1468198157	FMN	WHUMRUUTANVLEI	O=C1[N-]C(=O)C2C(N1)N(CC(C(C(COP(=O)([O-])[O-])O)O)O)C1C(N2)CC(C(C1)C)C	C17H28N4O9P---	-3.0
1468205472	alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3)-beta-D-GlcpNAc	MGSDFCKWGHNUSM	OCC1OC(OC2C(NC(=O)C)C(O)OC(C2O)CO)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O	C20H35NO15	0.0
1468208822	ddhrb	GKOLDEAQCJNSMB	OCC(C(C(CN1C2CC(O)CCC2CC2C1NC(=O)[N-]C2=O)O)O)O	C16H26N3O7-	-1.0
1468212019	Fe-coproporphyrin III	SXDINBXHOHHTMY	OC(=O)CCC1=C(C)C2=Cc3n4[Fe-2]56[N+]2=C1C=c1c(CCC(=O)O)c(c(=CC2=[N+]6C(=Cc4c(c3C)CCC(=O)O)C(=C2CCC(=O)O)C)n51)C	C36H36FeN4O8	0.0
1468212846	2ombzl	CZFRMASEEPTBAQ	COc1cc(O)cc(c1O)CC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C)C)C)C)C	C47H72O3	0.0
1468213212	2-thiouridine	GJTBSTBJLVYKAU	OCC1OC(C(C1O)O)n1ccc(=O)[nH]c1=S	C9H12N2O5S	0.0
1468218154	q8h2	LOJUQFSPYHMHEO	COc1c(O)c(CC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C)C)C)C)C)c(c(c1OC)O)C	C49H76O4	0.0
1468218170	REDUCED-MENAQUINONE	OIEZRVBFVPGODT	CC(=CCCC(=CCCC(=CCCC(=CCc1c(C)c(O)c2c(c1O)cccc2)C)C)C)CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C	C51H74O2	0.0
1468218804	alpha-L-Rhap-(1->3)-alpha-D-Galp	HLLZGYFHHYGOLN	OCC1OC(O)C(C(C1O)OC1OC(C)C(C(C1O)O)O)O	C12H22O10	0.0
